iter	Passed	Remaining
0	143	28567
1	144	14338
2	146	9596
3	147	7224
4	148	5797
5	150	4852
6	151	4176
7	152	3665
8	154	3281
9	156	2973
10	158	2727
11	159	2503
12	161	2317
13	162	2155
14	163	2018
15	164	1895
16	166	1789
17	167	1691
18	168	1606
19	170	1531
20	171	1463
21	172	1399
22	174	1339
23	175	1286
24	176	1237
25	178	1192
26	179	1150
27	180	1111
28	182	1073
29	183	1038
30	184	1004
31	185	974
32	186	945
33	187	917
34	189	892
35	190	868
36	191	845
37	193	824
38	194	802
39	195	782
40	196	762
41	197	744
42	198	726
43	200	709
44	201	693
45	202	677
46	203	662
47	204	648
48	206	635
49	207	621
50	208	609
51	209	597
52	210	585
53	211	572
54	212	561
55	213	549
56	214	538
57	215	527
58	216	517
59	217	507
60	218	497
61	219	487
62	219	478
63	220	469
64	222	461
65	223	452
66	224	444
67	225	437
68	226	429
69	227	421
70	227	414
71	228	406
72	229	399
73	230	391
74	230	384
75	231	378
76	232	371
77	233	364
78	233	358
79	234	351
80	235	345
81	235	339
82	236	333
83	236	327
84	237	321
85	238	315
86	238	310
87	239	304
88	239	299
89	240	293
90	241	288
91	241	283
92	242	278
93	242	273
94	243	268
95	243	264
96	244	259
97	244	254
98	245	250
99	246	246
100	246	241
101	247	237
102	247	233
103	248	229
104	248	224
105	249	220
106	249	217
107	250	213
108	250	209
109	251	205
110	251	201
111	252	198
112	252	194
113	253	191
114	253	187
115	254	184
116	254	180
117	255	177
118	255	174
119	256	170
120	256	167
121	257	164
122	258	161
123	258	158
124	259	155
125	259	152
126	260	149
127	260	146
128	261	143
129	261	140
130	262	138
131	262	135
132	263	132
133	263	129
134	264	127
135	264	124
136	265	121
137	265	119
138	266	116
139	266	114
140	267	111
141	267	109
142	268	106
143	268	104
144	269	102
145	269	99
146	270	97
147	270	95
148	271	92
149	271	90
150	272	88
151	272	86
152	273	83
153	273	81
154	274	79
155	274	77
156	275	75
157	276	73
158	276	71
159	277	69
160	277	67
161	278	65
162	279	63
163	279	61
164	280	59
165	281	57
166	281	55
167	282	53
168	282	51
169	283	50
170	283	48
171	284	46
172	285	44
173	285	42
174	286	40
175	287	39
176	287	37
177	288	35
178	288	33
179	289	32
180	290	30
181	290	28
182	291	27
183	291	25
184	292	23
185	293	22
186	293	20
187	294	18
188	294	17
189	295	15
190	296	13
191	296	12
192	297	10
193	297	9
194	298	7
195	299	6
196	299	4
197	300	3
198	300	1
199	301	0
