iter	RMSE
0	166037.33
1	159589.6173
2	153564.8415
3	147536.2015
4	142768.9548
5	137852.9313
6	133358.2787
7	129053.0484
8	124823.1605
9	120511.7788
10	116675.9014
11	112842.616
12	109215.3008
13	105611.5825
14	102398.7128
15	99355.44609
16	96688.5833
17	94156.78293
18	91197.45076
19	88566.14607
20	86257.88381
21	84040.92458
22	81725.23664
23	79951.04994
24	77972.08552
25	76111.24472
26	74399.40534
27	72961.07742
28	71834.81174
29	70835.79598
30	69267.33434
31	68069.97658
32	66740.48615
33	65566.34976
34	64577.79088
35	63594.07742
36	62615.81869
37	61835.9988
38	61020.08675
39	60490.69626
40	59586.03942
41	58878.67819
42	58055.51378
43	57211.90612
44	56600.95224
45	56047.63063
46	55429.80142
47	54852.79579
48	54361.34431
49	53871.82876
50	53363.28071
51	53034.75531
52	52646.4863
53	52271.3555
54	51864.06465
55	51494.42224
56	51178.65802
57	50926.40208
58	50630.05234
59	50378.50045
60	50153.93091
61	49955.98575
62	49727.40198
63	49495.5784
64	49304.02568
65	49143.79373
66	48981.76807
67	48818.21164
68	48649.96679
69	48542.33483
70	48383.25046
71	48181.92046
72	48019.45253
73	47901.04512
74	47799.07252
75	47657.91573
76	47522.31728
77	47431.2992
78	47329.42399
79	47203.75868
80	47108.52791
81	47020.09622
82	46943.37434
83	46864.73448
84	46752.31166
85	46639.72394
86	46567.98941
87	46477.22415
88	46392.33555
89	46305.90672
90	46235.22606
91	46157.09212
92	46063.85583
93	46027.72553
94	45957.90704
95	45908.74679
96	45835.35715
97	45753.38638
98	45678.40832
99	45628.92654
100	45539.37477
101	45492.02871
102	45398.93183
103	45353.54778
104	45283.33236
105	45215.62698
106	45161.3984
107	45100.99852
108	45035.60282
109	44975.29837
110	44936.99127
111	44897.76301
112	44867.67073
113	44819.32308
114	44768.15464
115	44733.97436
116	44690.72702
117	44626.22772
118	44569.20894
119	44512.64836
120	44473.28566
121	44435.55133
122	44382.80847
123	44333.78883
124	44291.47673
125	44253.12111
126	44193.77389
127	44146.41854
128	44082.02725
129	44053.19331
130	44025.98106
131	43983.87402
132	43925.29684
133	43890.36411
134	43841.21508
135	43803.91354
136	43785.26009
137	43735.10374
138	43702.89044
139	43657.14819
140	43601.42044
141	43574.99252
142	43523.6839
143	43493.92813
144	43465.44307
145	43410.59023
146	43349.33697
147	43321.35841
148	43283.20352
149	43245.78762
150	43209.54362
151	43181.17235
152	43133.63878
153	43101.26037
154	43035.64204
155	42951.15843
156	42918.98841
157	42861.84706
158	42812.51466
159	42777.65088
160	42719.43646
161	42683.86144
162	42662.76528
163	42613.87933
164	42589.0831
165	42546.62259
166	42519.81918
167	42483.15035
168	42461.93246
169	42417.47916
170	42375.70755
171	42327.57026
172	42295.26249
173	42250.39021
174	42238.48331
175	42223.11952
176	42173.14718
177	42124.53008
178	42097.88383
179	42054.58971
180	42040.85241
181	41994.04941
182	41938.8658
183	41929.21322
184	41889.41411
185	41843.41955
186	41787.72432
187	41750.1142
188	41702.65587
189	41660.24514
190	41619.17704
191	41509.86617
192	41401.89485
193	41324.78984
194	41252.33471
195	41198.95877
196	41190.20825
197	41183.28229
198	41116.42758
199	41079.13566
