state,year,device_type,e_waste_quantity,lead_content_kg,plastic_content_kg,economic_recovery_potential,informal_collection_rate
Punjab,2018,Television,455132,1673.88,12710.23,1224606,0.31
West Bengal,2018,Monitor,374584,2514.96,12197.11,955363,0.63
Rajasthan,2019,Monitor,379498,2281.1,7133.77,939659,0.33
Kerala,2023,Smartphone,290333,628.29,6322.53,638106,0.2
Uttar Pradesh,2018,Refrigerator,521426,2550.56,10281.54,1295582,0.63
Punjab,2021,Refrigerator,474690,1537.98,12444.71,1230087,0.65
Delhi,2023,Laptop,420110,2235.39,8815.37,1049751,0.63
Karnataka,2023,Monitor,355035,2375.28,7817.64,877319,0.47
Uttar Pradesh,2020,Television,448489,2954.45,14615.74,1024694,0.34
Maharashtra,2023,Smartphone,291426,607.69,14294.85,633438,0.47
West Bengal,2021,Laptop,429141,1751.4,6846.16,1107652,0.47
Punjab,2018,Air Conditioner,498040,2651.95,14335.87,1174804,0.27
Uttar Pradesh,2018,Smartphone,315248,2386.18,14356.13,789653,0.47
West Bengal,2022,Smartphone,279672,1194.9,13663.15,704857,0.29
Uttar Pradesh,2023,Air Conditioner,465734,2231.92,10208.78,1064151,0.56
Delhi,2018,Monitor,371239,741.41,12345.68,935377,0.57
Karnataka,2023,Television,411397,2346.54,7111.73,1043424,0.28
Punjab,2020,Refrigerator,513481,2742.92,5479.24,1271511,0.63
Maharashtra,2022,Television,432160,1301.48,11970.34,1081762,0.52
Delhi,2018,Refrigerator,472550,2592.92,6891.16,1168551,0.4
Tamil Nadu,2022,Smartphone,343079,825.28,6418.68,845854,0.25
Delhi,2022,Laptop,425681,2929.99,5493.38,992045,0.41
Rajasthan,2023,Printer,344143,1117.38,4368.23,756647,0.21
West Bengal,2019,Television,456497,2875.33,9778.98,1160411,0.37
Delhi,2022,Laptop,398259,3344.43,13502.62,956839,0.33
West Bengal,2019,Television,459691,1174.99,9680.26,1174908,0.35
Tamil Nadu,2021,Monitor,408269,3426.26,9998.7,983564,0.37
Gujarat,2019,Refrigerator,486414,1894.65,6574.94,1229906,0.31
Rajasthan,2023,Refrigerator,506082,3254.53,6969.31,1185193,0.61
Uttar Pradesh,2021,Printer,362330,2110.24,12368.76,895582,0.28
Delhi,2020,Printer,362346,1692.06,13087.36,926688,0.23
Gujarat,2023,Laptop,397565,1802.49,8743.15,917166,0.6
Maharashtra,2019,Air Conditioner,465678,2239.03,5705.01,1133659,0.39
Rajasthan,2021,Air Conditioner,497424,1453.57,13965.53,1200276,0.32
Maharashtra,2023,Smartphone,294085,635.88,12290.03,710207,0.62
Uttar Pradesh,2018,Monitor,358926,542.27,10878.7,860930,0.23
Delhi,2020,Printer,353373,1149.17,10013.93,849320,0.45
Maharashtra,2020,Smartphone,272590,1452.15,10629.37,709310,0.42
Gujarat,2018,Air Conditioner,475355,2977.88,9145.08,1172950,0.34
Tamil Nadu,2023,Refrigerator,486388,1621.76,12071.41,1206693,0.37
Maharashtra,2021,Television,488511,759.2,13500.65,1119642,0.59
Tamil Nadu,2023,Air Conditioner,476090,768.27,5096.89,1234909,0.34
Delhi,2019,Monitor,381094,1173.84,8113.64,855032,0.33
Gujarat,2018,Printer,351443,3299.7,11805.51,899017,0.37
West Bengal,2018,Monitor,372024,1946.16,10869.12,912184,0.46
Kerala,2019,Air Conditioner,467551,2374.02,5494.7,1241360,0.46
Tamil Nadu,2022,Laptop,389856,2724.13,11956.73,1017530,0.27
Gujarat,2018,Laptop,400163,1410.16,13342.23,933753,0.3
Uttar Pradesh,2021,Refrigerator,519838,2890.0,5163.32,1245652,0.28
Uttar Pradesh,2023,Monitor,381737,1830.81,12707.23,852054,0.51
Uttar Pradesh,2022,Smartphone,288977,1494.27,4749.81,706712,0.59
Rajasthan,2020,Monitor,399618,3451.05,5433.74,1020389,0.38
Punjab,2020,Monitor,376659,2864.51,9174.44,901438,0.43
Tamil Nadu,2021,Air Conditioner,485605,3281.11,9131.95,1297608,0.43
Rajasthan,2021,Monitor,386697,1136.12,13264.5,950070,0.51
Rajasthan,2019,Air Conditioner,469716,1445.13,8004.55,1156145,0.42
Maharashtra,2021,Monitor,420610,1162.51,12169.5,1028083,0.56
Rajasthan,2020,Refrigerator,489222,2319.68,10459.64,1182840,0.32
Tamil Nadu,2019,Monitor,382785,1484.74,11366.44,908289,0.58
Kerala,2019,Monitor,396459,649.32,5301.22,887872,0.45
Maharashtra,2019,Television,462486,2080.07,8689.19,1178495,0.37
Maharashtra,2018,Printer,374042,2227.19,8010.97,953570,0.28
Kerala,2020,Printer,341378,2640.07,12983.64,800348,0.52
Maharashtra,2019,Smartphone,271405,2673.9,12708.34,678975,0.6
Uttar Pradesh,2021,Refrigerator,515886,1616.19,14080.94,1292722,0.32
West Bengal,2018,Smartphone,334040,2042.08,4539.2,874736,0.42
Rajasthan,2023,Laptop,398162,2077.02,11160.62,1045922,0.56
Maharashtra,2020,Laptop,407822,1382.54,9925.28,1006120,0.59
Tamil Nadu,2019,Air Conditioner,482127,1173.14,9921.68,1285958,0.45
Karnataka,2022,Television,478375,2009.21,7595.51,1183650,0.46
Kerala,2020,Smartphone,275624,2343.92,13391.38,702563,0.52
Gujarat,2019,Monitor,374980,1713.05,14446.59,968851,0.24
Gujarat,2020,Monitor,383587,3145.03,6789.41,1006847,0.35
Rajasthan,2020,Smartphone,308167,651.97,12839.05,731269,0.28
Kerala,2018,Monitor,418839,2055.72,12215.82,1062763,0.21
Maharashtra,2023,Air Conditioner,477192,1995.37,7833.22,1189736,0.41
Delhi,2023,Printer,343158,516.18,7966.12,786709,0.21
Maharashtra,2019,Monitor,412353,2808.91,9728.76,1062570,0.54
Maharashtra,2018,Laptop,383221,1009.62,7503.92,966782,0.21
Kerala,2021,Refrigerator,539254,536.21,8824.61,1320608,0.57
Punjab,2021,Laptop,364934,2938.61,10093.71,927117,0.38
Rajasthan,2020,Monitor,351865,2356.91,11251.64,978793,0.43
Punjab,2023,Laptop,400188,1760.74,11371.9,1110608,0.37
Uttar Pradesh,2020,Laptop,405003,2924.49,12190.72,864484,0.44
Kerala,2018,Refrigerator,515836,1412.84,11501.25,1294689,0.24
Kerala,2021,Refrigerator,508262,2274.39,5854.86,1213338,0.24
Rajasthan,2020,Television,482911,2124.02,14798.28,1211281,0.32
Kerala,2023,Laptop,424629,2307.41,13801.69,1072591,0.38
Punjab,2020,Laptop,418972,2782.22,6599.5,1137539,0.28
Gujarat,2023,Printer,337239,2636.15,10208.91,883671,0.6
Maharashtra,2020,Refrigerator,498874,1118.58,14446.93,1125926,0.59
Tamil Nadu,2023,Television,454053,3190.87,11388.19,1124951,0.58
Gujarat,2021,Smartphone,315788,523.91,9405.02,807908,0.61
Gujarat,2021,Smartphone,290916,1428.11,6332.43,670874,0.34
Tamil Nadu,2019,Refrigerator,473733,2574.81,11863.04,1138163,0.6
Uttar Pradesh,2022,Air Conditioner,498662,654.01,10439.6,1184074,0.61
Delhi,2018,Air Conditioner,467667,3405.94,13714.18,1145625,0.24
Punjab,2019,Monitor,391078,1583.26,4064.5,1073620,0.3
Gujarat,2023,Printer,340442,811.47,14231.62,862518,0.59
Delhi,2022,Monitor,386869,1232.05,4357.53,897963,0.6
Delhi,2018,Printer,343907,2592.53,10564.9,928025,0.26
Tamil Nadu,2020,Air Conditioner,502905,1368.14,5992.55,1286402,0.57
Gujarat,2021,Smartphone,315317,1518.31,4346.95,733712,0.63
Kerala,2023,Smartphone,298572,1030.1,14762.03,718655,0.56
Delhi,2018,Refrigerator,515527,971.84,13867.22,1237689,0.28
Kerala,2018,Television,438237,2390.29,5917.22,1072627,0.23
West Bengal,2018,Monitor,327590,3166.21,14940.25,859019,0.39
Maharashtra,2019,Refrigerator,487189,1164.0,6492.12,1261272,0.54
Rajasthan,2020,Refrigerator,520124,781.68,9224.64,1341144,0.62
Rajasthan,2019,Smartphone,293863,895.41,12795.57,747304,0.39
Gujarat,2023,Television,465072,1501.41,10476.15,1251037,0.27
Karnataka,2018,Laptop,438804,3205.07,6001.85,1002647,0.26
Gujarat,2020,Laptop,415817,2543.5,4533.87,1030550,0.34
West Bengal,2021,Printer,347980,2354.67,14618.28,829595,0.26
Kerala,2019,Printer,339329,2941.71,13767.51,891616,0.53
Tamil Nadu,2022,Refrigerator,527762,1134.98,8492.61,1356627,0.48
Karnataka,2020,Laptop,420247,703.0,7027.55,1022454,0.5
Rajasthan,2023,Refrigerator,516645,3198.05,11869.99,1322100,0.54
Maharashtra,2018,Air Conditioner,489248,3429.32,13878.5,1253657,0.42
Kerala,2019,Monitor,391527,1891.19,12079.25,978118,0.37
Gujarat,2023,Monitor,395491,2552.0,10060.96,1039880,0.33
Delhi,2019,Monitor,377483,2183.18,11952.69,1022620,0.25
Tamil Nadu,2020,Laptop,428163,2583.05,10783.37,1112490,0.56
Gujarat,2023,Monitor,391780,903.99,4745.78,971839,0.61
Kerala,2020,Smartphone,296819,2162.11,10549.21,671991,0.22
Uttar Pradesh,2019,Monitor,379165,3411.09,9839.88,990027,0.6
Kerala,2021,Air Conditioner,478067,3486.69,8254.91,1110955,0.23
Gujarat,2018,Refrigerator,493199,2887.59,14581.25,1223148,0.42
West Bengal,2018,Laptop,382845,1072.11,9223.01,912662,0.33
Karnataka,2022,Television,485846,3013.94,5708.38,1195474,0.33
Gujarat,2020,Refrigerator,468231,621.8,13623.46,1162027,0.47
West Bengal,2018,Air Conditioner,504206,2429.04,7142.7,1293646,0.55
Maharashtra,2022,Air Conditioner,494972,2307.15,7671.98,1257557,0.3
Karnataka,2018,Air Conditioner,463617,805.04,9869.05,1186651,0.43
West Bengal,2021,Laptop,426079,1883.37,9322.8,1066958,0.55
Rajasthan,2018,Air Conditioner,482445,2802.82,13909.59,1233539,0.59
Punjab,2021,Refrigerator,490278,1754.25,9509.05,1225404,0.57
Uttar Pradesh,2022,Air Conditioner,520614,1112.21,11355.18,1238060,0.53
Karnataka,2021,Printer,356291,2245.77,12084.32,938092,0.41
Gujarat,2022,Laptop,376317,1084.66,6287.89,898098,0.64
Karnataka,2022,Printer,324431,3332.08,12642.85,814752,0.51
Kerala,2023,Refrigerator,483111,1203.22,14135.29,1269846,0.46
Punjab,2019,Printer,374048,3042.03,13957.23,924426,0.35
Maharashtra,2019,Air Conditioner,498053,3341.21,5283.82,1132320,0.54
Maharashtra,2023,Printer,344267,976.73,7845.56,858186,0.4
Maharashtra,2023,Monitor,385488,3186.17,12215.53,1037397,0.48
Delhi,2018,Television,464016,941.13,9835.85,1169495,0.64
Punjab,2023,Television,437234,1001.03,8688.14,1101390,0.23
Tamil Nadu,2023,Air Conditioner,438617,3254.8,8370.75,1088800,0.37
Maharashtra,2021,Air Conditioner,455935,1685.93,6432.26,1164161,0.21
West Bengal,2020,Laptop,389036,2028.76,4727.18,1002435,0.46
Kerala,2018,Smartphone,252777,1611.73,8419.68,637167,0.31
Karnataka,2023,Television,429705,2404.58,13631.67,1185625,0.25
West Bengal,2018,Printer,374835,691.35,5412.63,938168,0.46
Rajasthan,2020,Monitor,406541,3008.68,14550.0,946616,0.36
West Bengal,2021,Monitor,347095,3078.51,4954.95,732129,0.48
Kerala,2021,Monitor,384722,851.04,7555.18,997704,0.61
Tamil Nadu,2019,Monitor,370065,1470.75,6704.49,953885,0.62
Tamil Nadu,2019,Air Conditioner,473917,1750.39,9476.8,1198631,0.42
Delhi,2023,Television,437301,2671.44,13099.34,1083409,0.52
Karnataka,2022,Refrigerator,494358,1511.28,10660.87,1296886,0.21
Maharashtra,2021,Television,440602,890.23,4968.46,1085561,0.41
Uttar Pradesh,2021,Laptop,426043,582.04,4968.02,1121384,0.57
Gujarat,2021,Smartphone,300524,2602.12,4858.24,728224,0.41
Delhi,2022,Television,448410,1935.81,13216.58,1155664,0.35
Maharashtra,2021,Printer,358029,3036.22,6494.02,1024155,0.44
Delhi,2018,Laptop,420712,2611.62,5661.93,1075965,0.39
Uttar Pradesh,2019,Printer,363635,929.59,7852.36,889242,0.59
Gujarat,2021,Smartphone,296674,1911.89,11291.34,762353,0.31
Tamil Nadu,2018,Television,457516,1813.75,5572.47,1092368,0.27
Rajasthan,2021,Air Conditioner,489086,2972.78,7982.87,1290696,0.31
Maharashtra,2019,Printer,353667,759.62,6652.76,778101,0.44
Rajasthan,2018,Smartphone,265144,2931.11,14208.31,785058,0.32
Rajasthan,2020,Printer,345936,2486.47,7469.21,801732,0.4
Gujarat,2018,Air Conditioner,495524,1970.47,6191.02,1211755,0.26
West Bengal,2021,Laptop,385867,2171.43,6410.93,969748,0.31
Punjab,2020,Television,414073,2576.76,13663.59,980252,0.26
Karnataka,2022,Printer,348889,566.82,6302.43,906454,0.31
Uttar Pradesh,2022,Laptop,391289,1591.67,4692.29,950443,0.58
Maharashtra,2020,Laptop,421236,979.57,7050.43,1063328,0.33
Tamil Nadu,2018,Television,479093,2873.67,8696.78,1137256,0.37
West Bengal,2022,Television,441855,3499.38,12153.14,1078944,0.22
Rajasthan,2021,Refrigerator,485178,1506.78,14956.5,1210327,0.4
Delhi,2019,Laptop,393386,996.7,13861.69,992551,0.4
Uttar Pradesh,2020,Printer,366772,2853.37,7234.75,887227,0.44
Rajasthan,2018,Smartphone,287765,768.43,8290.32,710658,0.38
Kerala,2023,Air Conditioner,498441,3304.14,8238.82,1210439,0.25
Delhi,2020,Television,447682,3440.19,4191.65,1104083,0.51
Rajasthan,2019,Television,421718,1557.12,13228.99,1078762,0.49
Tamil Nadu,2022,Monitor,387542,525.32,6112.63,908975,0.21
